SYMBOL,Top1000_candidate,Top3000_candidate,Top1000_KEGG_core,Top3000_KEGG_core,support_count,support_sources
CSRP3,0,1,0,0,1,Top3000_candidate
CUL3,0,1,0,0,1,Top3000_candidate
CXCL12,0,1,0,0,1,Top3000_candidate
DDAH1,1,0,0,0,1,Top1000_candidate
DDR1,0,1,0,0,1,Top3000_candidate
DDRGK1,1,0,0,0,1,Top1000_candidate
DDX47,0,1,0,0,1,Top3000_candidate
DEDD2,0,1,0,0,1,Top3000_candidate
DHRS2,0,1,0,0,1,Top3000_candidate
DHX15,0,1,0,0,1,Top3000_candidate
DIDO1,0,1,0,0,1,Top3000_candidate
DNAJA1,1,0,0,0,1,Top1000_candidate
DNMT3A,0,1,0,0,1,Top3000_candidate
DPF1,0,1,0,0,1,Top3000_candidate
DPF2,0,1,0,0,1,Top3000_candidate
DUSP26,0,1,0,0,1,Top3000_candidate
DYRK2,0,1,0,0,1,Top3000_candidate
EEF2K,1,0,0,0,1,Top1000_candidate
ELMO1,0,1,0,0,1,Top3000_candidate
ELMO2,0,1,0,0,1,Top3000_candidate
EPB41L4B,0,1,0,0,1,Top3000_candidate
EPHB4,0,1,0,0,1,Top3000_candidate
ERO1A,0,1,0,0,1,Top3000_candidate
EXOC5,0,1,0,0,1,Top3000_candidate
EYS,0,1,0,0,1,Top3000_candidate
FAIM,0,1,0,0,1,Top3000_candidate
FAM162A,0,1,0,0,1,Top3000_candidate
FANCC,0,1,0,0,1,Top3000_candidate
FAP,0,1,0,0,1,Top3000_candidate
FATE1,0,1,0,0,1,Top3000_candidate
FBN1,0,1,0,0,1,Top3000_candidate
FCN2,0,1,0,0,1,Top3000_candidate
FGB,0,1,0,0,1,Top3000_candidate
FHL1,0,1,0,0,1,Top3000_candidate
FHL2,1,0,0,0,1,Top1000_candidate
FKBP4,1,0,0,0,1,Top1000_candidate
GAS1,0,1,0,0,1,Top3000_candidate
GDF2,0,1,0,0,1,Top3000_candidate
GMEB1,1,0,0,0,1,Top1000_candidate
GNAS,0,1,0,0,1,Top3000_candidate
GREB1L,0,1,0,0,1,Top3000_candidate
GRHL3,0,1,0,0,1,Top3000_candidate
HAS2,0,1,0,0,1,Top3000_candidate
HERC5,0,1,0,0,1,Top3000_candidate
HINT1,0,1,0,0,1,Top3000_candidate
HIP1,0,1,0,0,1,Top3000_candidate
HMOX2,0,1,0,0,1,Top3000_candidate
HOXA7,0,1,0,0,1,Top3000_candidate
HSPB2,1,0,0,0,1,Top1000_candidate
HSPB6,1,0,0,0,1,Top1000_candidate
ID2,0,1,0,0,1,Top3000_candidate
ID3,0,1,0,0,1,Top3000_candidate
IFI16,0,1,0,0,1,Top3000_candidate
IFIT2,0,1,0,0,1,Top3000_candidate
IFIT5,0,1,0,0,1,Top3000_candidate
IFITM2,0,1,0,0,1,Top3000_candidate
IFITM3,0,1,0,0,1,Top3000_candidate
IGHV3-48,0,1,0,0,1,Top3000_candidate
IGLV3-1,0,1,0,0,1,Top3000_candidate
IGLV7-43,0,1,0,0,1,Top3000_candidate
IL15,1,0,0,0,1,Top1000_candidate
IL19,0,1,0,0,1,Top3000_candidate
IL24,0,1,0,0,1,Top3000_candidate
INVS,0,1,0,0,1,Top3000_candidate
IRF3,0,1,0,0,1,Top3000_candidate
IRF8,0,1,0,0,1,Top3000_candidate
ISG15,0,1,0,0,1,Top3000_candidate
ITGB1BP2,0,1,0,0,1,Top3000_candidate
JADE1,0,1,0,0,1,Top3000_candidate
KAT2B,0,1,0,0,1,Top3000_candidate
KAT5,0,1,0,0,1,Top3000_candidate
KCMF1,0,1,0,0,1,Top3000_candidate
KCNJ8,0,1,0,0,1,Top3000_candidate
KCNK2,0,1,0,0,1,Top3000_candidate
KDM2B,1,0,0,0,1,Top1000_candidate
KEAP1,0,1,0,0,1,Top3000_candidate
KIF13A,1,0,0,0,1,Top1000_candidate
KLRD1,0,1,0,0,1,Top3000_candidate
KMT5B,0,1,0,0,1,Top3000_candidate
KY,0,1,0,0,1,Top3000_candidate
LHX1,0,1,0,0,1,Top3000_candidate
LIAS,0,1,0,0,1,Top3000_candidate
LILRB4,0,1,0,0,1,Top3000_candidate
LNPK,1,0,0,0,1,Top1000_candidate
LOC102724560,0,1,0,0,1,Top3000_candidate
LST1,0,1,0,0,1,Top3000_candidate
LY9,0,1,0,0,1,Top3000_candidate
MDM4,0,1,0,0,1,Top3000_candidate
MFN2,0,1,0,0,1,Top3000_candidate
MGAT3,0,1,0,0,1,Top3000_candidate
MMRN2,0,1,0,0,1,Top3000_candidate
MSC,0,1,0,0,1,Top3000_candidate
MSRB1,0,1,0,0,1,Top3000_candidate
MSRB3,0,1,0,0,1,Top3000_candidate
MT-CO1,0,1,0,0,1,Top3000_candidate
MT-ND3,0,1,0,0,1,Top3000_candidate
MTDH,1,0,0,0,1,Top1000_candidate
MTPN,1,0,0,0,1,Top1000_candidate
MYH6,1,0,0,0,1,Top1000_candidate
MYH7,1,0,0,0,1,Top1000_candidate
MYH9,0,1,0,0,1,Top3000_candidate
MYL6,0,1,0,0,1,Top3000_candidate
MYO19,1,0,0,0,1,Top1000_candidate
MYO1G,0,1,0,0,1,Top3000_candidate
MYOD1,0,1,0,0,1,Top3000_candidate
NCL,0,1,0,0,1,Top3000_candidate
NDRG2,1,0,0,0,1,Top1000_candidate
NEXMIF,0,1,0,0,1,Top3000_candidate
NFE2L1,0,1,0,0,1,Top3000_candidate
NINJ1,0,1,0,0,1,Top3000_candidate
NIPBL,0,1,0,0,1,Top3000_candidate
NOTCH2,0,1,0,0,1,Top3000_candidate
NOTCH4,0,1,0,0,1,Top3000_candidate
NPEPPS,0,1,0,0,1,Top3000_candidate
NPR3,0,1,0,0,1,Top3000_candidate
NPY,0,1,0,0,1,Top3000_candidate
NRP1,0,1,0,0,1,Top3000_candidate
NUDT2,0,1,0,0,1,Top3000_candidate
